iso_code,location,date,total_cases,population,per_had_been_ill
AND,Andorra,2021-03-31,12010.0,77265.0,15.543907331909661
MNE,Montenegro,2021-03-31,91218.0,628062.0,14.523725364693295
CZE,Czechia,2021-03-31,1532332.0,1.0708982E7,14.308848404077997
SMR,San Marino,2021-03-31,4730.0,33938.0,13.937179562732041
SVN,Slovenia,2021-03-31,215602.0,2078932.0,10.370805779121202
LUX,Luxembourg,2021-03-31,61642.0,625976.0,9.847342390123583
ISR,Israel,2021-03-31,833105.0,8655541.0,9.625106044786802
USA,United States,2021-03-31,3.046221E7,3.31002647E8,9.203010995860707
SRB,Serbia,2021-03-31,600596.0,6804596.0,8.826328557933492
BHR,Bahrain,2021-03-31,144445.0,1701583.0,8.488860079114566
PAN,Panama,2021-03-31,355051.0,4314768.0,8.228739065460761
PRT,Portugal,2021-03-31,821722.0,1.0196707E7,8.058699735120367
EST,Estonia,2021-03-31,106424.0,1326539.0,8.022681579659551
SWE,Sweden,2021-03-31,804886.0,1.009927E7,7.969744347858805
LTU,Lithuania,2021-03-31,216119.0,2722291.0,7.938864728274824
